,Type,InputFile,Mean,Std
0,Nodes,2828282828,1.0,7.0
1,Nodes,2828282828,41.4,3.475629439396553
2,Edges,2828282828,2.54,17.779999999999998
3,Edges,2828282828,53.18,9.819755597773296
4,DCen,2828282828,0.10367346938775508,0.09717715052379013
5,DCen,2828282828,0.06316424494026684,0.05351532168555093
6,CCen,2828282828,0.09808189901489632,0.026400388781265976
7,CCen,2828282828,0.04557400964472187,0.029129211966782975
8,BCen,2828282828,0.006955782312925171,0.014031138615610235
9,BCen,2828282828,0.0033669354104471864,0.0099269478047446
