,Type,Mean,Std
0,Nodes,14.16,9.774170041492015
1,Edges,14.44,11.51548522642446
2,DCen,0.12429885333858341,0.19764186915921567
3,CCen,0.06816627514677885,0.0497829298956769
4,BCen,0.0009624624513645491,0.00556360541396302
