,Type,InputFile,Mean,Std
0,Nodes,1313131313,50.0,0.0
1,Nodes,1313131313,42.54,3.868901652924251
2,Edges,1313131313,254.46,12.371273176193306
3,Edges,1313131313,61.18,12.017803459867364
4,DCen,1313131313,0.2077224489795918,0.08219037398631299
5,DCen,1313131313,0.06875766113920895,0.061307207340663174
6,CCen,1313131313,0.32403597550589336,0.037798016061299816
7,CCen,1313131313,0.05335693599883678,0.02999860845969582
8,BCen,1313131313,0.02865578231292517,0.025137829290670145
9,BCen,1313131313,0.005338732593041227,0.015012143620125002
