,Type,InputFile,Mean,Std
0,Nodes,3333333333,42.98,3.8806700452370335
1,Nodes,3333333333,42.98,3.8806700452370335
2,Edges,3333333333,62.92,11.21934044407246
3,Edges,3333333333,62.92,11.21934044407246
4,DCen,3333333333,0.06937103303963812,0.06285482720628363
5,DCen,3333333333,0.06937103303963812,0.06285482720628363
6,CCen,3333333333,0.05412173451014573,0.03081636650372105
7,CCen,3333333333,0.05412173451014573,0.03081636650372105
8,BCen,3333333333,0.004843746312802203,0.013368972533118221
9,BCen,3333333333,0.004843746312802203,0.013368972533118221
