,Type,InputFile,Mean,Std
0,Nodes,2626262626,49.9,0.36055512754639896
1,Nodes,2626262626,50.0,0.0
2,Edges,2626262626,150.42,9.77157100982232
3,Edges,2626262626,259.12,9.540733724405058
4,DCen,2626262626,0.12329669470653566,0.0767451641044331
5,DCen,2626262626,0.2115265306122449,0.07764044511207523
6,CCen,2626262626,0.16326022438032248,0.04194491221152325
7,CCen,2626262626,0.32510747817460994,0.0394874754573229
8,BCen,2626262626,0.023017867687397046,0.0327924142808473
9,BCen,2626262626,0.02743316326530612,0.0236301768844024
