,Type,InputFile,Mean,Std
0,Nodes,3434343434,42.54,3.868901652924251
1,Nodes,3434343434,26.92,6.950798515278658
2,Edges,3434343434,61.18,12.017803459867364
3,Edges,3434343434,25.2,8.55336191213724
4,DCen,3434343434,0.06875766113920895,0.061307207340663174
5,DCen,3434343434,0.07060032028000897,0.06138567936250785
6,CCen,3434343434,0.05335693599883678,0.02999860845969582
7,CCen,3434343434,0.03981970962696789,0.03062115189939577
8,BCen,3434343434,0.005338732593041227,0.015012143620125002
9,BCen,3434343434,0.0007373379155591719,0.0026848509218407764
