,Type,InputFile,Mean,Std
0,Nodes,3535353535,42.54,3.868901652924251
1,Nodes,3535353535,49.2,1.6492422502470643
2,Edges,3535353535,61.18,12.017803459867364
3,Edges,3535353535,118.72,39.593959135201416
4,DCen,3535353535,0.06875766113920895,0.061307207340663174
5,DCen,3535353535,0.0995744513963114,0.08836576170774324
6,CCen,3535353535,0.05335693599883678,0.02999860845969582
7,CCen,3535353535,0.10444933157213487,0.06656548349284908
8,BCen,3535353535,0.005338732593041227,0.015012143620125002
9,BCen,3535353535,0.012596104627155658,0.026954833222548106
