,Type,InputFile,Mean,Std
0,Nodes,1717171717,50.0,0.0
1,Nodes,1717171717,49.88,0.3249615361854384
2,Edges,1717171717,246.14,9.901535234497729
3,Edges,1717171717,142.56,13.953006844404541
4,DCen,1717171717,0.20093061224489792,0.09009449581278592
5,DCen,1717171717,0.11692892874872482,0.08168837532514672
6,CCen,1717171717,0.3139845093058969,0.04049563662510039
7,CCen,1717171717,0.14636633841266564,0.05433378700022114
8,BCen,1717171717,0.0294734693877551,0.028279646583348503
9,BCen,1717171717,0.022298261811848217,0.03741922592892264
