,Type,InputFile,Mean,Std
0,Nodes,1212121212,50.0,0.0
1,Nodes,1212121212,49.86,0.34698703145794946
2,Edges,1212121212,256.92,10.654276136838202
3,Edges,1212121212,149.82,11.098990945126499
4,DCen,1212121212,0.20973061224489792,0.08430765578911795
5,DCen,1212121212,0.12297869408493439,0.07803231416827451
6,CCen,1212121212,0.3220241338319201,0.040418388371432565
7,CCen,1212121212,0.16631079210122346,0.04549509229905724
8,BCen,1212121212,0.028262755102040814,0.02501845237501301
9,BCen,1212121212,0.02417256086618447,0.036013099889209296
