,Type,InputFile,Mean,Std
0,Nodes,1111111111,50.0,0.0
1,Nodes,1111111111,50.0,0.0
2,Edges,1111111111,256.92,10.654276136838202
3,Edges,1111111111,256.92,10.654276136838202
4,DCen,1111111111,0.20973061224489792,0.08430765578911795
5,DCen,1111111111,0.20973061224489792,0.08430765578911795
6,CCen,1111111111,0.3220241338319201,0.040418388371432565
7,CCen,1111111111,0.3220241338319201,0.040418388371432565
8,BCen,1111111111,0.028262755102040814,0.02501845237501301
9,BCen,1111111111,0.028262755102040814,0.02501845237501301
