,Type,InputFile,Mean,Std
0,Nodes,2222222222,49.86,0.34698703145794946
1,Nodes,2222222222,49.86,0.34698703145794946
2,Edges,2222222222,149.82,11.098990945126499
3,Edges,2222222222,149.82,11.098990945126499
4,DCen,2222222222,0.12297869408493439,0.07803231416827451
5,DCen,2222222222,0.12297869408493439,0.07803231416827451
6,CCen,2222222222,0.16631079210122346,0.04549509229905724
7,CCen,2222222222,0.16631079210122346,0.04549509229905724
8,BCen,2222222222,0.02417256086618447,0.036013099889209296
9,BCen,2222222222,0.02417256086618447,0.036013099889209296
