,Type,InputFile,Mean,Std
0,Nodes,3737373737,39.52,5.814602307982894
1,Nodes,3737373737,49.88,0.3249615361854384
2,Edges,3737373737,51.34,12.024325344899813
3,Edges,3737373737,142.56,13.953006844404541
4,DCen,3737373737,0.06668916791003734,0.06260075873627749
5,DCen,3737373737,0.11692892874872482,0.08168837532514672
6,CCen,3737373737,0.04754469553226056,0.02814360875894355
7,CCen,3737373737,0.14636633841266564,0.05433378700022114
8,BCen,3737373737,0.0030900100817411753,0.009302538595644444
9,BCen,3737373737,0.022298261811848217,0.03741922592892264
