,Type,InputFile,Mean,Std
0,Nodes,1919191919,50.0,0.0
1,Nodes,1919191919,33.46,7.618950058899192
2,Edges,1919191919,254.46,12.371273176193306
3,Edges,1919191919,34.82,11.608083390465456
4,DCen,1919191919,0.2077224489795918,0.08219037398631299
5,DCen,1919191919,0.06275155514779868,0.04864898511034543
6,CCen,1919191919,0.32403597550589336,0.037798016061299816
7,CCen,1919191919,0.037323917867675804,0.029205015799576916
8,BCen,1919191919,0.02865578231292517,0.025137829290670145
9,BCen,1919191919,0.001226593055466311,0.004836005574423779
