,Type,InputFile,Mean,Std
0,Nodes,2424242424,49.86,0.34698703145794946
1,Nodes,2424242424,29.36,4.620649305021969
2,Edges,2424242424,149.82,11.098990945126499
3,Edges,2424242424,29.32,7.417384983941443
4,DCen,2424242424,0.12297869408493439,0.07803231416827451
5,DCen,2424242424,0.06971916547113,0.06387160226667202
6,CCen,2424242424,0.16631079210122346,0.04549509229905724
7,CCen,2424242424,0.041194290962015906,0.02795695176565514
8,BCen,2424242424,0.02417256086618447,0.036013099889209296
9,BCen,2424242424,0.001140873318197514,0.004053445852250737
