,Type,InputFile,Mean,Std
0,Nodes,1414141414,50.0,0.0
1,Nodes,1414141414,29.36,4.620649305021969
2,Edges,1414141414,256.92,10.654276136838202
3,Edges,1414141414,29.32,7.417384983941443
4,DCen,1414141414,0.20973061224489792,0.08430765578911795
5,DCen,1414141414,0.06971916547113,0.06387160226667202
6,CCen,1414141414,0.3220241338319201,0.040418388371432565
7,CCen,1414141414,0.041194290962015906,0.02795695176565514
8,BCen,1414141414,0.028262755102040814,0.02501845237501301
9,BCen,1414141414,0.001140873318197514,0.004053445852250737
