,Type,InputFile,Mean,Std
0,Nodes,4141414141,21.54,6.6036656487136
1,Nodes,4141414141,50.0,0.0
2,Edges,4141414141,18.72,8.173224577851755
3,Edges,4141414141,246.14,9.901535234497729
4,DCen,4141414141,0.08228959988795562,0.07039700934800854
5,DCen,4141414141,0.20093061224489792,0.09009449581278592
6,CCen,4141414141,0.04604303402329523,0.038619195073159966
7,CCen,4141414141,0.3139845093058969,0.04049563662510039
8,BCen,4141414141,0.001065052890869864,0.0039823509114040485
9,BCen,4141414141,0.0294734693877551,0.028279646583348503
